"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2024","51,100","51,000","52,000","50,800","11.81M","0.20%"
"03/28/2024","51,000","50,800","52,200","50,400","11.65M","0.59%"
"03/27/2024","50,700","48,800","51,400","48,550","12.74M","4.21%"
"03/26/2024","48,650","48,300","48,900","47,800","7.52M","0.72%"
"03/25/2024","48,300","49,000","50,300","48,300","10.37M","-1.63%"
"03/22/2024","49,100","48,700","49,400","48,000","12.08M","1.24%"
"03/21/2024","48,500","48,500","48,950","48,000","9.10M","1.04%"
"03/20/2024","48,000","45,600","48,650","45,600","20.64M","5.49%"
"03/19/2024","45,500","46,000","46,400","45,350","8.06M","-0.87%"
"03/18/2024","45,900","47,200","47,950","45,650","12.15M","-3.06%"
"03/15/2024","47,350","47,250","47,700","46,550","8.87M","0.21%"
"03/14/2024","47,250","48,800","49,000","47,100","13.30M","-2.68%"
"03/13/2024","48,550","46,800","48,700","46,800","8.93M","3.85%"
"03/12/2024","46,750","46,150","47,900","46,050","16.65M","0.75%"
"03/11/2024","46,400","47,500","48,300","46,250","13.80M","-2.83%"
"03/08/2024","47,750","49,250","49,250","47,000","20.60M","-2.55%"
"03/07/2024","49,000","48,700","49,250","48,100","9.44M","0.62%"
"03/06/2024","48,700","50,000","50,300","48,300","15.08M","-2.60%"
"03/05/2024","50,000","47,600","50,000","47,500","22.38M","5.49%"
"03/04/2024","47,400","46,600","47,950","46,600","16.59M","1.72%"
"03/01/2024","46,600","46,550","47,300","46,100","15.36M","0.87%"
"02/29/2024","46,200","46,400","47,000","46,000","13.89M","1.99%"
"02/28/2024","45,300","45,000","45,850","44,750","13.79M","1.23%"
"02/27/2024","44,750","44,700","45,200","44,400","9.64M","0.90%"
"02/26/2024","44,350","44,000","44,500","43,050","13.53M","0.80%"
"02/23/2024","44,000","45,300","45,550","43,950","17.64M","-2.87%"
"02/22/2024","45,300","46,300","46,300","45,200","11.20M","-1.74%"
"02/21/2024","46,100","46,700","46,700","46,000","6.48M","-1.50%"
"02/20/2024","46,800","46,950","46,950","46,000","7.87M","0.00%"
"02/19/2024","46,800","46,500","47,200","46,150","7.50M","1.08%"
"02/16/2024","46,300","46,400","46,600","45,800","5.00M","0.98%"
"02/15/2024","45,850","46,950","47,000","45,850","9.34M","-1.61%"
"02/07/2024","46,600","46,950","47,050","46,450","5.71M","-0.85%"
"02/06/2024","47,000","47,500","47,500","46,800","5.40M","-0.84%"
"02/05/2024","47,400","47,500","47,600","46,800","7.54M","0.00%"
"02/02/2024","47,400","46,500","47,400","46,100","11.95M","2.60%"
"02/01/2024","46,200","45,000","46,700","45,000","11.30M","2.67%"
"01/31/2024","45,000","45,700","45,900","44,650","8.74M","-0.88%"
"01/30/2024","45,400","44,600","45,450","44,500","7.14M","1.79%"
"01/29/2024","44,600","44,950","45,150","44,500","4.13M","-0.67%"
"01/26/2024","44,900","45,000","45,500","44,750","3.78M","-0.66%"
"01/25/2024","45,200","44,250","45,200","44,100","7.53M","1.80%"
"01/24/2024","44,400","45,200","45,450","44,350","9.68M","-2.20%"
"01/23/2024","45,400","46,150","46,150","45,250","6.10M","-1.63%"
"01/22/2024","46,150","46,100","46,300","45,150","7.24M","0.22%"
"01/19/2024","46,050","46,000","46,700","45,300","10.72M","0.44%"
"01/18/2024","45,850","44,900","45,850","44,600","8.90M","2.12%"
"01/17/2024","44,900","44,300","45,600","44,300","12.49M","1.35%"
"01/16/2024","44,300","42,900","44,400","42,800","17.42M","3.26%"
"01/15/2024","42,900","42,550","43,300","42,250","8.99M","2.39%"
"01/12/2024","41,900","41,850","42,600","41,800","7.14M","-1.30%"
"01/11/2024","42,450","42,250","43,150","42,200","4.99M","0.47%"
